載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名,,
手機條碼,20260307,YV9xxxx674,252,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,2,126,252,餐-二原腿排M,,
手機條碼,20260307,YV9xxxx674,90,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,2,45,90,玉米湯-小,,
手機條碼,20260307,YV9xxxx674,54,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,2,27,54,配-經典中薯,,
手機條碼,20260307,YM3xxxx082,0,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,1,0,0,A印花貼紙張,,
手機條碼,20260307,YM3xxxx082,78,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,1,78,78,壹把蕉金,,
手機條碼,20260307,YM3xxxx082,58,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,1,58,58,植物的優草莓,,
手機條碼,20260307,YM3xxxx082,20,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,1,20,20,Ice walker冰塊,,
手機條碼,20260307,YM3xxxx082,56,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,2,28,56,惜惜康普茶荔蘋,,
手機條碼,20260307,YM3xxxx082,46,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,2,23,46,台鹽海洋純水,,
手機條碼,20260307,YM3xxxx082,-9,開立已確認,否,27947319,全聯實業股份有限公司恆春西門分公司,屏東縣恆春鎮西門路110號,,1,-9,-9,折讓,,
cube iCash 2.0,20260307,YK6xxxx597,39,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,39,39,(吊)滿漢小香腸(蒜味),,
手機條碼,20260306,YM3xxxx317,0,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,0,0,A印花貼紙張,,
手機條碼,20260306,YM3xxxx317,30,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,30,30,丹麥紅豆麵包,,
手機條碼,20260306,YM3xxxx317,135,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,135,135,家樂氏格脆棉花,,
手機條碼,20260306,YM3xxxx317,68,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,68,68,福樂雙麥牛乳,,
手機條碼,20260306,YM3xxxx317,28,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,28,28,惜惜康普茶荔蘋,,
手機條碼,20260306,YM3xxxx317,-6,開立已確認,否,54915419,全聯實業股份有限公司鹽埕七賢三分公司,高雄市鹽埕區七賢三路6號,,1,-6,-6,折讓,,
手機條碼,20260306,YG4xxxx584,90,開立已確認,否,93279774,國雲科技股份有限公司聯合醫院停車場,高雄市鼓山區龍水里中華一路976號及地下2樓,,1,90,90,停車費,,
手機條碼,20260304,YW0xxxx333,68,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,68,68,B13_四重麥香魚,,
手機條碼,20260304,YW0xxxx333,33,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,33,33,零卡可-小,,
手機條碼,20260304,YW0xxxx333,0,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,0,48,0,四塊麥克雞塊,,
手機條碼,20260303,YM1xxxx519,0,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,0,0,A印花貼紙張,,
手機條碼,20260303,YM1xxxx519,59,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,59,59,林鳳營藍莓優格,,
手機條碼,20260303,YM1xxxx519,59,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,59,59,林鳳營草莓優格,,
手機條碼,20260303,YM1xxxx519,138,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,2,69,138,日式醬燒炒麵,,
手機條碼,20260303,YM1xxxx519,-4,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-4,-4,折讓,,
手機條碼,20260302,YP2xxxx722,1000,開立已確認,否,81512608,台灣中油股份有限公司油品行銷事業部嘉義營業處新營服務區北上加油站,台南市後壁區竹新里新厝70號,,34.6,28.9,1000,【113F 12095001】９５無鉛汽油,,
手機條碼,20260302,YM1xxxx781,0,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,0,0,A印花貼紙張,,
手機條碼,20260302,YM1xxxx781,30,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,30,30,丹麥紅豆麵包,,
手機條碼,20260302,YM1xxxx781,57,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,57,57,豆漿燕麥,,
手機條碼,20260302,YM1xxxx781,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食草莓,,
手機條碼,20260302,YM1xxxx781,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食蜜蕉巧,,
手機條碼,20260302,YM1xxxx781,23,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,23,23,草莓紅茶氣泡飲,,
手機條碼,20260302,YM1xxxx781,23,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,23,23,蜜桃紅茶氣泡飲,,
手機條碼,20260302,YM1xxxx781,-223,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-223,-223,折讓,,
手機條碼,20260301,ZN7xxxx322,35,開立已確認,否,82691002,五二早餐店,803高雄市鹽埕區五福四路131號,,1,35,35,中熱狗/2支,,
手機條碼,20260301,ZB9xxxx100,560,開立已確認,否,85527048,亞洲藏壽司股份有限公司高雄ＳＫＭ　Ｐａｒｋ店,高雄市前鎮區明正里中安路１之１號１樓,,14,40,560,壽司盤,,
手機條碼,20260301,ZB9xxxx100,90,開立已確認,否,85527048,亞洲藏壽司股份有限公司高雄ＳＫＭ　Ｐａｒｋ店,高雄市前鎮區明正里中安路１之１號１樓,,1,90,90,綠碗,,
手機條碼,20260301,ZB9xxxx100,260,開立已確認,否,85527048,亞洲藏壽司股份有限公司高雄ＳＫＭ　Ｐａｒｋ店,高雄市前鎮區明正里中安路１之１號１樓,,2,130,260,紅碗,,
手機條碼,20260301,ZB9xxxx100,240,開立已確認,否,85527048,亞洲藏壽司股份有限公司高雄ＳＫＭ　Ｐａｒｋ店,高雄市前鎮區明正里中安路１之１號１樓,,4,60,240,小缽,,
手機條碼,20260301,ZB9xxxx100,160,開立已確認,否,85527048,亞洲藏壽司股份有限公司高雄ＳＫＭ　Ｐａｒｋ店,高雄市前鎮區明正里中安路１之１號１樓,,2,80,160,80元壽司盤,,
手機條碼,20260301,YK1xxxx097,240,開立已確認,否,24797920,大魯閣開發股份有限公司高雄分公司,高雄市前鎮區中安路1之1號,,1,240,240,小吃Food Court,,
手機條碼,20260301,YH2xxxx406,1428,開立已確認,否,27365925,富邦媒體科技股份有限公司,台北市內湖區洲子街96號4樓,,1,1428,1428,【AKWATEK】雙開門折疊拉桿箱(手推車 摺疊推車),,
捐贈或作廢之發票，字軌號碼均會隱末3碼,,,,,,,,,,,,,,,
注意：本功能所下載之雲端發票明細檔案可能因賣方營業人後續作廢或折讓等原因而產生誤差。,,,,,,,,,,,,,,,
